REF_DATE,GEO,Gender,Sociodemographic_characteristics,Indicators,VALUE
2021-04,Canada (excluding territories),Men,First Nations,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,First Nations,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Métis,Excellent or very good perceived mental health,36.7
2021-04,Canada (excluding territories),Men,Métis,Good perceived mental health,40
2021-04,Canada (excluding territories),Men,Métis,Fair or poor perceived mental health,23.4
2021-04,Canada (excluding territories),Men,Inuk (Inuit),Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Inuk (Inuit),Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Inuk (Inuit),Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Multiple Indigenous identities,Excellent or very good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Multiple Indigenous identities,Good perceived mental health,NA
2021-04,Canada (excluding territories),Men,Multiple Indigenous identities,Fair or poor perceived mental health,NA
2021-04,Canada (excluding territories),Men,Non-Indigenous identity,Excellent or very good perceived mental health,48.7
2021-04,Canada (excluding territories),Men,Non-Indigenous identity,Good perceived mental health,34.2
2021-04,Canada (excluding territories),Men,Non-Indigenous identity,Fair or poor perceived mental health,17.1
2021-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, persons with and without a disability, difficulty or long-term condition",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Excellent or very good perceived mental health,35
2021-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Good perceived mental health,34
2021-04,Canada (excluding territories),Men,"Persons with a disability, difficulty or long-term condition",Fair or poor perceived mental health,31
2021-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Excellent or very good perceived mental health,55.7
2021-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Good perceived mental health,34.2
2021-04,Canada (excluding territories),Men,"Persons without a disability, difficulty or long-term condition",Fair or poor perceived mental health,10.1
2021-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, LGBTQ2+ and non-LGBTQ2+ people",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,LGBTQ2+ people,Excellent or very good perceived mental health,28.6
2021-04,Canada (excluding territories),Men,LGBTQ2+ people,Good perceived mental health,37.7
2021-04,Canada (excluding territories),Men,LGBTQ2+ people,Fair or poor perceived mental health,33.7
2021-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Excellent or very good perceived mental health,49.5
2021-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Good perceived mental health,34
2021-04,Canada (excluding territories),Men,Non-LGBTQ2+ people,Fair or poor perceived mental health,16.5
2021-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, highest certificate, diploma or degree",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Excellent or very good perceived mental health,51.7
2021-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Good perceived mental health,32.6
2021-04,Canada (excluding territories),Men,"No certificate, diploma or degree",Fair or poor perceived mental health,15.7
2021-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Excellent or very good perceived mental health,46.3
2021-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Good perceived mental health,34.7
2021-04,Canada (excluding territories),Men,Secondary (high) school diploma or equivalency certificate,Fair or poor perceived mental health,19
2021-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Excellent or very good perceived mental health,48.6
2021-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Good perceived mental health,34.3
2021-04,Canada (excluding territories),Men,"Postsecondary certificate, diploma or degree",Fair or poor perceived mental health,17.1
2021-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Excellent or very good perceived mental health,49.1
2021-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Good perceived mental health,33.9
2021-04,Canada (excluding territories),Men,Postsecondary certificate or diploma below bachelor level,Fair or poor perceived mental health,17
2021-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Excellent or very good perceived mental health,51.1
2021-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Good perceived mental health,32.8
2021-04,Canada (excluding territories),Men,Apprenticeship or trades certificate or diploma,Fair or poor perceived mental health,16
2021-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Excellent or very good perceived mental health,47.9
2021-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Good perceived mental health,35.9
2021-04,Canada (excluding territories),Men,"College, CEGEP or other non-university certificate or diploma",Fair or poor perceived mental health,16.2
2021-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Good perceived mental health,30
2021-04,Canada (excluding territories),Men,University certificate or diploma below bachelor level,Fair or poor perceived mental health,21.5
2021-04,Canada (excluding territories),Men,Bachelor's degree or higher,Excellent or very good perceived mental health,48
2021-04,Canada (excluding territories),Men,Bachelor's degree or higher,Good perceived mental health,34.8
2021-04,Canada (excluding territories),Men,Bachelor's degree or higher,Fair or poor perceived mental health,17.1
2021-04,Canada (excluding territories),Men,Bachelor's degree,Excellent or very good perceived mental health,46.2
2021-04,Canada (excluding territories),Men,Bachelor's degree,Good perceived mental health,35.9
2021-04,Canada (excluding territories),Men,Bachelor's degree,Fair or poor perceived mental health,17.8
2021-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Excellent or very good perceived mental health,51.3
2021-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Good perceived mental health,32.9
2021-04,Canada (excluding territories),Men,"University certificate, diploma or degree above bachelor level",Fair or poor perceived mental health,15.8
2021-04,Canada (excluding territories),Men,"Total, by main activity",Excellent or very good perceived mental health,48.5
2021-04,Canada (excluding territories),Men,"Total, by main activity",Good perceived mental health,34.1
2021-04,Canada (excluding territories),Men,"Total, by main activity",Fair or poor perceived mental health,17.3
2021-04,Canada (excluding territories),Men,Working at a paid job or business,Excellent or very good perceived mental health,48.6
2021-04,Canada (excluding territories),Men,Working at a paid job or business,Good perceived mental health,34.5
2021-04,Canada (excluding territories),Men,Working at a paid job or business,Fair or poor perceived mental health,16.9
2021-04,Canada (excluding territories),Men,Retired,Excellent or very good perceived mental health,55.4
